V;pH;[CO3[2-]]/([CO3[2-]]+[CO2(aq)]+[HCO3[-]]);[CO2(aq)]/([CO2(aq)]+[CO3[2-]]+[HCO3[-]]);[HCO3[-]]/([CO2(aq)]+[CO3[2-]]+[HCO3[-]])
0;12.77863027001;0.996689225225402;1.09976330119327E-9;0.0033107736748344
0.3;12.761201155613;0.996554122102462;1.19151243367261E-9;0.0034458767060253
0.6;12.7435840444728;0.996411978376542;1.29202480280804E-9;0.00358802033143281
0.9;12.7257612696777;0.996262230128058;1.40233291094525E-9;0.00373776846960895
1.2;12.7077140735329;0.996104251697255;1.52361993648796E-9;0.0038957467791251
1.5;12.6894224675549;0.995937347017124;1.65724639637965E-9;0.00406265132562966
1.8;12.6708650740726;0.995760739447839;1.80478241562267E-9;0.00423925874737894
2.1;12.652018946128;0.995573559802315;1.96804698235387E-9;0.00442643822963819
2.4;12.6328593616896;0.995374832176989;2.14915595804424E-9;0.00462516567385479
2.7;12.6133595873574;0.995163457105162;2.35058113008755E-9;0.0048365405442569
3;12.5934906056839;0.994938191425418;2.57522328481937E-9;0.00506180599935913
3.3;12.5732207989132;0.99469762409541;2.82650320842828E-9;0.00530237307808651
3.6;12.5525155802689;0.994440146968838;3.10847578479337E-9;0.00555984992268585
3.9;12.5313369617841;0.994163919272924;3.42597408778867E-9;0.00583607730110171
4.2;12.5096430449298;0.993866824150159;3.78479275748569E-9;0.00613317206504826
4.5;12.4873874167559;0.993546415126039;4.19192329472457E-9;0.00645358068203764
4.8;12.4645184296465;0.993199849683241;4.65585863954848E-9;0.00680014566090019
5.1;12.440978336726;0.992823806188551;5.18699117132337E-9;0.00717618862445775
5.4;12.4167022469234;0.992414379123827;5.79813808853803E-9;0.00758561507803466
5.7;12.3916168529554;0.991966945755645;6.50524256427774E-9;0.0080330477391126
6;12.3656388709863;0.991475994797629;7.32832061876009E-9;0.00852399787405014
6.3;12.33867311094;0.990934903903721;8.29275632151488E-9;0.00906508780352254
6.6;12.310610069174;0.990335647402362;9.43109834384228E-9;0.00966434316653977
6.9;12.2813228972485;0.989668407627278;1.07855901298779E-8;0.0103315815871321
7.2;12.2506635470207;0.988921051048187;1.24117931080235E-8;0.0110789365400201
7.5;12.218457816105;0.988078411736495;1.43838709640261E-8;0.0119215738796342
7.8;12.1844989080627;0.987121295463443;1.68024536107965E-8;0.0128786877341031
8.1;12.1485389623106;0.986025070978074;1.98066046518212E-8;0.0139749092153211
8.4;12.1102777754609;0.98475763858766;2.35924915035534E-8;0.0152423378198486
8.7;12.0693475935247;0.983276438267925;2.84433303570656E-8;0.0167235332887442
9;12.0252923556574;0.981523940220806;3.47789275250576E-8;0.0184760250002668
9.3;11.9775390625791;0.979420675390395;4.32405433444833E-8;0.0205792813690618
9.6;11.9253580114423;0.976854170347611;5.48420539966677E-8;0.023145774810335
9.9;11.8678076664747;0.973660881854563;7.12512337944227E-8;0.0263390468942032
10.2;11.8036598479889;0.969595891042833;9.53391049433039E-8;0.0304040136180618
10.5;11.7313051510026;0.964280938491805;1.32310185976285E-7;0.0357189291980089
10.8;11.6486582883177;0.957114776405965;1.92153121759767E-7;0.0428850314409128
11.1;11.5531510369146;0.947124042038151;2.95192138436239E-7;0.0528756627697106
11.4;11.4420877379454;0.932751680892217;4.84831205081762E-7;0.0672478342765782
11.7;11.3139582392149;0.911711636989197;8.54950596574807E-7;0.0882875080602068
12;11.1710444228778;0.881388017834014;1.59616688475394E-6;0.118610385999101
12.3;11.0209901653509;0.840254405719921;3.03689983232137E-6;0.159742557380246
12.6;10.8731829984915;0.789144421276329;5.63365819176816E-6;0.210849945065479
12.9;10.7331223909298;0.730520362397013;9.94002654131054E-6;0.269469697576446
13.2;10.6014377450692;0.666864176474284;0.0000166403285899403;0.333119183197126
13.5;10.4760538876698;0.599963346405797;0.0000266696271083751;0.400009983967094
13.8;10.3538806018475;0.530954447881249;0.00004142819956231;0.469004123919188
14.1;10.2313594338929;0.460540264640892;0.0000631755073591165;0.539396559851749
14.4;10.104272634741;0.389162056238364;0.0000958484777671291;0.610742095283869
14.7;9.96694810529375;0.317107719052499;0.000146997721518773;0.682745283225982
15;9.8103641407884;0.244578979921101;0.000233179758273629;0.755187840320625
15.3;9.61693263954638;0.171746085541812;0.000399044719527633;0.82785486973866
15.6;9.34067113962411;0.0988697464402969;0.000819824968721991;0.900310428590981
15.75;9.12605347001337;0.0627022730006459;0.00139693546927335;0.935900791530081
15.9;8.75867428281306;0.0278546461335244;0.00336937291099417;0.968775980955481
15.975;8.43117870581751;0.0132491278717594;0.00724152242652983;0.979509349701711
16.05;8.0364267583894;0.00532368803444926;0.0179208696657047;0.976755442299846
16.125;7.75192338177228;0.00272684842187815;0.0340262613804004;0.963246890197721
16.2;7.56211886468378;0.0017307849248922;0.0517613237474511;0.946507891327657
16.275;7.42279025369921;0.00123224216071371;0.0700028233872529;0.928764934452033
16.35;7.31262653305615;0.000937474220686265;0.0884517170389734;0.91061080874034
16.425;7.22108895263131;0.000744006335375879;0.107003683572475;0.892252310092149
16.5;7.14236356861789;0.000607805775776419;0.125613895921008;0.873778298303216
16.575;7.0729381520195;0.000507017023513534;0.144260102800125;0.855232880176362
16.65;7.01053758796096;0.000429611981008636;0.162930056656811;0.83664033136218
16.725;6.95360606954276;0.000368440515887987;0.181616475190957;0.818015084293155
16.8;6.90103285146786;0.000318991167311494;0.200314761785813;0.799366247046875
16.875;6.85199660482411;0.00027827916993429;0.219021873516311;0.780699847313755
16.95;6.8058719554862;0.00024425212095914;0.23773571609518;0.762020031783861
17.025;6.76217067965682;0.000215452824755209;0.256454800608398;0.743329746566847
17.1;6.72050322357782;0.000190818386149541;0.275178038936886;0.724631142676964
17.175;6.68055266377297;0.000169555442889235;0.29390461667366;0.70592582788345
17.25;6.642056564474;0.00015105990701099;0.312633911336169;0.68721502875682
17.325;6.60479400662588;0.000134863747112669;0.331365438089771;0.668499698163116
17.4;6.56857609513387;0.000120598756072223;0.350098812743373;0.649780588500555
17.7;6.43113955025824;0.0000777525051735608;0.425045370507955;0.574876876986871
18;6.29994916762957;0.0000499887232482027;0.5000042656402;0.499945745636552
18.3;6.16874602232131;0.0000314148975269487;0.574967904930396;0.425000680172077
18.6;6.03126474164409;0.0000188536799195077;0.649930093557841;0.35005105276224
18.9;5.87923357403742;0.0000104408273249021;0.724882750332511;0.275106808840164
19.2;5.69844667735973;5.01048521148391E-6;0.799809263571751;0.200185725943038
19.5;5.45625722493517;1.79618921019277E-6;0.874656712305919;0.125341491504871
19.65;5.28455801072621;8.49384467484125E-7;0.911986256078858;0.0880128945366747
19.8;5.02966346853877;2.73291216122418E-7;0.949071071960911;0.050928654747873
19.875;4.82934907368878;1.1072544343734E-7;0.967273480210697;0.0327264090638598
19.9125;4.68919890388387;5.85983024090765E-8;0.976084074333065;0.023915867068633
19.95;4.50132580081422;2.48772142643929E-8;0.984351358678736;0.0156486164440494
19.96875;4.38267411762571;1.44585963698821E-8;0.988047670925351;0.0119523146160531
19.9875;4.2473656763933;7.77859291647054E-9;0.991219166300314;0.00878082592109277
20.00625;4.10343279566446;4.01894790567674E-9;0.993680541628271;0.00631945435278131
20.025;3.96481706941061;2.12633414234378E-9;0.995399398210922;0.00460059966274434
20.04375;3.84187679194226;1.20849213965408E-9;0.99652969864923;0.00347030014227797
20.0625;3.73697856076464;7.46055075451582E-10;0.997272326105457;0.00272767314848825
20.08125;3.64800428540783;4.95497925676933E-10;0.997776497346364;0.00222350215813774
20.1;3.57187102119803;3.49084539622929E-10;0.998133363838022;0.00186663581289356
20.11875;3.50586294261441;2.5764918876827E-10;0.99839614203026;0.00160385771209128
20.1375;3.447866433453;1.97298073453348E-10;0.998596357620677;0.00140364218202535
20.15625;3.39628939172282;1.55609830101749E-10;0.998753340958808;0.0012466588855824
20.175;3.34993407990105;1.25713298120827E-10;0.99887940884759;0.00112059102669623
20.19375;3.30789008633813;1.03594844054558E-10;0.998982702215049;0.0010172976813557
20.2125;3.26945541835903;8.67973020250047E-11;0.999068783102193;0.000931216811009525
20.23125;3.23408051019764;7.37544190610795E-11;0.999141564688948;0.000858435237297557
20.25;3.20132873835066;6.34324644894932E-11;0.999203872031452;0.000796127905115749
20.26875;3.17084839599948;5.51282663550307E-11;0.99925779141836;0.000742208526511594
20.2875;3.14235256519271;4.83507421976729E-11;0.999304894683796;0.000695105267853214
20.30625;3.11560446076252;4.2748902382224E-11;0.999346387219055;0.000653612738196369
20.325;3.09040660570446;3.80667026253446E-11;0.999383208073283;0.000616791888650366
20.34375;3.06659272426351;3.41139327951841E-11;0.999416099172586;0.000583900793299672
20.49375;2.91244247666347;1.67767204876087E-11;0.99959048990702;0.000409510076203772
20.64375;2.79942540965457;9.97042535798785E-12;0.999684290034606;0.000315709955423378
20.79375;2.71034740033712;6.61581107628611E-12;0.999742820880161;0.000257179113222993
20.94375;2.63693105244447;4.7181068376094E-12;0.999782811549012;0.000217188446269449
21.09375;2.57455899483299;3.5402691002211E-12;0.999811861668629;0.00018813832783088
21.24375;2.5203931431857;2.75876147202593E-12;0.999833918592712;0.000166081404529173
21.39375;2.47256451001068;2.21342294431454E-12;0.999851235295484;0.000148764702302134
21.54375;2.42977705159645;1.81758844250591E-12;0.99986519111808;0.000134808880102172
21.69375;2.39109518362864;1.52102658814657E-12;0.999876677696698;0.000123322301780511
21.84375;2.35582144755867;1.29298507465529E-12;0.999886296961882;0.000113703036825058
21.99375;2.32342201798272;1.1137768901223E-12;0.999894469939037;0.000105530059849276
22.14375;2.29347922773788;9.70321546758E-13;0.999901499949789;0.0000985000492404407
22.29375;2.26566014669258;8.53650634608451E-13;0.999907611051392;0.0000923889477547959
22.44375;2.23969511236955;7.57447309802235E-13;0.999912972337494;0.0000870276617480553
22.59375;2.21536265522616;6.77157312269284E-13;0.999917713816304;0.0000822861830186754
22.74375;2.1924786614422;6.0942942484902E-13;0.999921937085596;0.0000780629137947074
23.04375;2.15046067853053;5.02216040620326E-13;0.99992913530792;0.0000708646915773469
23.34375;2.11265893715512;4.21977857354063E-13;0.999935042286669;0.0000649577129090436
23.64375;2.07834487179268;3.60299512976258E-13;0.999939976846885;0.0000600231527548681
23.94375;2.04696314280494;3.11818612186317E-13;0.999944160837759;0.0000558391619292626
24.24375;2.01808075139446;2.7298501743251E-13;0.999947753396498;0.0000522466032285873
24.54375;1.99135356542565;2.41371391508706E-13;0.999950871644064;0.0000491283556949621
24.84375;1.96650356346179;2.1527171801499E-13;0.999953603692798;0.000046396306986896
25.14375;1.94330292570244;1.93458024856944E-13;0.999956017103584;0.0000439828962225858
25.44375;1.92156263952407;1.75027830538272E-13;0.999958164547375;0.0000418354524500166
25.74375;1.9011241645688;1.59305582562999E-13;0.999960087692928;0.0000399123069127393
26.04375;1.88185322164531;1.45777286358274E-13;0.999961819936919;0.00003818006293503
26.34375;1.86363508744474;1.34046128219886E-13;0.999963388359562;0.0000366116403034933
26.64375;1.84637097719659;1.23801718597333E-13;0.999964815150487;0.0000351848493889763
26.94375;1.8299752267159;1.14798374510551E-13;0.999966118665055;0.0000338813348303123
27.24375;1.81437307080804;1.06839524413126E-13;0.999967314218232;0.0000326857816611056
27.54375;1.7994988727226;9.97663371968239E-14;0.999968414689067;0.0000315853108336839
27.84375;1.78529469904625;9.34493149278085E-14;0.999969430986466;0.0000305690134408089
28.14375;1.77170916219269;8.77819970962166E-14;0.999970372412038;0.0000296275878747117
28.44375;1.75869647237294;8.26761904994841E-14;0.999971246945591;0.0000287530543258417
28.74375;1.74621565514154;7.80583157879706E-14;0.999972061471873;0.0000279385280488288
29.04375;1.73422990098771;7.38665811494334E-14;0.999972821962175;0.0000271780377512242
29.34375;1.72270602110462;7.00487754883965E-14;0.999973533620965;0.0000264663789648213
29.64375;1.71161398919492;6.65605303741248E-14;0.999974201005151;0.000025798994782616
29.94375;1.70092655349196;6.33639401137305E-14;0.999974828121754;0.0000251718781826754
30;1.69896565124268;6.27943283522567E-14;0.999974941517377;0.0000250584825601374
